Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-029,(6) Complete,1301 16th,1301,16th,St,94103,3954,016,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-08-30T00:00:00.000,2017-12-18T00:00:00.000,2017-12-18T00:00:00.000,2021-01-20T00:00:00.000,"Sixteenth Street Center, LLC",,,2013.0698,{'url': 'http://propertymap.sfplanning.org/?search=2013.0698'},"2013.0698E,2013.0698U,2013.0698X",2016-04-28T00:00:00.000,On-site BMR Project,172,28,144,16.00,0,7,9,10,2,0,0,0,0,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,37.765845145000,-122.400239354999,"{'latitude': '37.765845145', 'longitude': '-122.400239354999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1984-010,(6) Complete,South Beach Marina Apartments,2,Townsend,St,94107,3789,"028, 029",6,Financial District/South Beach,South of Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,,"South Beach Marina , Inc.",,"South Beach Marina , Inc.",Not Applicable,,,,,414,101,313,24.00,0,0,53,48,0,0,0,0,0,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,37.782406670000,-122.389807907999,"{'latitude': '37.78240667', 'longitude': '-122.389807907999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-004,(5) First Construction Document Issued,2157 Grove St,2157,Grove,St,94117,1193,030,5,Haight Ashbury,Haight Ashbury,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-01-29T00:00:00.000,2020-12-01T00:00:00.000,,,2020-12-01T00:00:00.000,2021-06-01T00:00:00.000,PRC,,,Not Applicable,,,,,9,9,0,100,9,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,37.774140000000,-122.451680000000,"{'latitude': '37.77414', 'longitude': '-122.45168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-079,(2) Predevelopment Feasibility,1515 South Van Ness,1515,South Van Ness,Ave,94110,6571,008,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-08-10T00:00:00.000,,,2021-08-10T00:00:00.000,2023-10-04T00:00:00.000,,,,Not Yet Available,,,2016-08-11T00:00:00.000,,150,149,1,99.00,0,0,0,0,0,0,0,0,0,,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,37.748910767000,-122.415417720999,"{'latitude': '37.748910767', 'longitude': '-122.415417720999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-128,(3) Design with Entitlements Approved,CPS-Block 8a,95,Harney,Way,94124,5000,034,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,2023-07-01T00:00:00.000,,,2023-07-01T00:00:00.000,2023-12-23T00:00:00.000,,,,Not Applicable,,,2017-05-16T00:00:00.000,,127,13,114,10.0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.712356571000,-122.383881643999,"{'latitude': '37.712356571', 'longitude': '-122.383881643999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-049,(2) Predevelopment Feasibility,Potrero Block B,1801,25th,St,94107,4285B,001,10,Potrero Hill,Potrero Hill,MOHCD,HOPE SF,0,New Construction,Rental,,2021-08-15T00:00:00.000,,,2021-08-15T00:00:00.000,2023-08-15T00:00:00.000,BRIDGE Housing Corporation,,"Potrero Housing Associates II, LP",2010.0515,{'url': 'http://propertymap.sfplanning.org/?search=2010.0515'},,,,157,156,1,99.00,0,0,40,53,52,11,0,15,1,2bd,156,0,0,0,0,0,117,0,41,8,58,0,33,16,0,0,0,0,0,0,0,0,37.751691020000,-122.397430562999,"{'latitude': '37.75169102', 'longitude': '-122.397430562999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-098,(1) Preliminary Phase,"HPSY II-CP, Block 2B",,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,,2028-12-31T00:00:00.000,,,2028-12-31T00:00:00.000,2030-06-24T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,130,129,1,99.00,0,0,0,0,0,0,0,0,1,,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,37.715982657000,-122.385119946999,"{'latitude': '37.715982657', 'longitude': '-122.385119946999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-052e,(2) Predevelopment Feasibility,SFHA Scattered Sites - Eddy,1357-1371,Eddy,St,94115,748,"016B,",5,Western Addition,Western Addition,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-10-01T00:00:00.000,,,2021-10-01T00:00:00.000,2023-01-15T00:00:00.000,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,8,8,0,100,0,0,0,0,8,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37.781510000000,-122.429920000000,"{'latitude': '37.78151', 'longitude': '-122.42992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1990-013,(3) Design with Entitlements Approved,Fillmore Marketplace,1223,Webster,St,94115,0732,"1-11, 25-28, 31",5,Western Addition,Western Addition,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-03-29T00:00:00.000,,,2021-03-29T00:00:00.000,2022-04-01T00:00:00.000,Related California,San Francisco Housing Development Corporation,"Fillmore Marketplace Housing Partners, L.P.",2021-001090PRL,{'url': 'http://propertymap.sfplanning.org/?search=2021-001090PRL'},,,,120,118,2,98.00,0,0,29,28,61,0,0,0,2,"2bd, 3bd",118,0,0,0,0,0,0,0,0,0,108,0,10,0,0,0,0,0,0,0,0,0,37.781960000000,-122.431000000000,"{'latitude': '37.78196', 'longitude': '-122.431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-011,(6) Complete,777 Tennessee,777,Tennessee,St,94107,4044,013,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2017-04-27T00:00:00.000,2017-10-17T00:00:00.000,2017-10-17T00:00:00.000,2020-08-13T00:00:00.000,Triple T Tennessee LLC,,,2013.0312,{'url': 'http://propertymap.sfplanning.org/?search=2013.0312'},"2013.0312E,2013.0312E_3,2013.0312K,2013.0312PPA,2013.0312U,2013.0312X",2015-04-30T00:00:00.000,On-site BMR Project,59,8,51,14.00,0,0,5,2,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.762026765000,-122.389324477999,"{'latitude': '37.762026765', 'longitude': '-122.389324477999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-043,(5) First Construction Document Issued,1532 Harrison,1532,Harrison,St,94103,3521,056,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-07-28T00:00:00.000,2017-12-01T00:00:00.000,2017-12-01T00:00:00.000,2020-01-25T00:00:00.000,"Joe Peters; Build, Inc.",,,2013.1390,{'url': 'http://propertymap.sfplanning.org/?search=2013.1390'},"2013.1390CUA,2013.1390CUA_2,2013.1390E,2013.1390IKA,2013.1390PPA,2013.1390U",2015-10-08T00:00:00.000,On-site BMR Project,136,22,114,16.00,0,10,3,9,0,0,0,0,0,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,37.770483896000,-122.413316346999,"{'latitude': '37.770483896', 'longitude': '-122.413316346999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-010a,(5) First Construction Document Issued,South Park Scattered Sites - Gran Oriente Filipino,106,South Park,St,94107,3775,058,6,Financial District/South Beach,South of Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,2018-06-08T00:00:00.000,2020-06-08T00:00:00.000,,,2020-06-08T00:00:00.000,2021-10-20T00:00:00.000,Mission Housing Development Corporation,,Mission Housing Development Corporation,Not Applicable,,,,,22,22,0,100,22,0,0,0,0,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,37.781714970000,-122.394403055999,"{'latitude': '37.78171497', 'longitude': '-122.394403055999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-028,(2) Predevelopment Feasibility,4200 Geary,4200,Geary,Blvd,94118,1438,017A,1,Inner Richmond,Inner Richmond,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2022-08-22T00:00:00.000,,,2022-08-22T00:00:00.000,2025-03-10T00:00:00.000,Tenderloin Neighborhood Development Corporation,,,2020-006779PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-006779PRJ'},,,,98,97,1,99.00,0,0,0,0,0,0,0,0,0,,0,97,0,20,0,20,0,0,30,0,0,0,67,0,0,0,0,0,0,0,0,0,37.781120000000,-122.464300000000,"{'latitude': '37.78112', 'longitude': '-122.4643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-054,(4) Site Work Permit Issued,469 Eddy,469,Eddy,St,94102,0337,014A,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-11-30T00:00:00.000,,2019-05-31T00:00:00.000,2021-07-24T00:00:00.000,"469 Eddy Street, LLC",,,2014.0562,{'url': 'http://propertymap.sfplanning.org/?search=2014.0562'},"2014.0562CUA,2014.0562E,2014.0562SHD,2014.0562U,2014.0562VAR",2016-05-12T00:00:00.000,On-site BMR Project,28,4,24,14.00,0,0,2,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.783303868000,-122.415318719999,"{'latitude': '37.783303868', 'longitude': '-122.415318719999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-027,(5) First Construction Document Issued,"188 Hooper St (1140 7th St, 1111 8th St)",188,Hooper,St,94103,3808,004,10,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-08-27T00:00:00.000,2018-12-17T00:00:00.000,2018-12-17T00:00:00.000,2020-08-14T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2016-001557PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-001557PRJ'},"2016-001557ENV,2016-001557ENV-02,2016-001557ENX,2016-001557GPR,2016-001557IMP,2016-001557MCM,2016-001557PPA,2016-001557TDM,2016-001557VAR,2018-007182CUA",2018-06-28T00:00:00.000,Exempt Project (Student Housing),280,0,280,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.767887971000,-122.400375352999,"{'latitude': '37.767887971', 'longitude': '-122.400375352999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-009,(3) Design with Entitlements Approved,3700 California St,3700,California,St,94118,1015,001,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2022-02-25T00:00:00.000,2024-04-20T00:00:00.000,TMG Partners,,TMG Partners,2017-003559PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-003559PRJ'},,2020-02-27T00:00:00.000,Fee Payment,273,0,273,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.786380000000,-122.456250000000,"{'latitude': '37.78638', 'longitude': '-122.45625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2014-008,(5) First Construction Document Issued,Mira 1 (Transbay Block 1 (Affordable Project)),160,Folsom,St,94105,3740,030,6,Financial District/South Beach,Financial District,OCII,Limited Equity Program,Transbay,New Construction,Ownership,,2017-05-01T00:00:00.000,2016-12-30T00:00:00.000,2017-05-25T00:00:00.000,2017-05-25T00:00:00.000,2020-05-05T00:00:00.000,Tishman Speyer,,"Block One Property Holder, LP",Not Applicable,,,,,76,76,0,100,0,0,42,19,15,0,0,0,0,,76,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,0,0,0,0,0,0,37.789981604000,-122.391730222999,"{'latitude': '37.789981604', 'longitude': '-122.391730222999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2012-005,(2) Predevelopment Feasibility,Alice Griffith Phase 5 (Blocks 14 & 15),,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,2026-06-01T00:00:00.000,,,2026-06-01T00:00:00.000,2028-06-01T00:00:00.000,McCormack Baron Salazar,,Entity to be formed,Not Applicable,,,,,36,35,1,97.00,0,0,0,0,0,29,6,4,1,2bd,35,0,0,0,0,0,30,0,0,0,30,0,5,0,0,0,0,0,0,0,0,0,37.718764238000,-122.387736788999,"{'latitude': '37.718764238', 'longitude': '-122.387736788999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-030,(3) Design with Entitlements Approved,2670 Geary,2670,Geary,Blvd,94118,1071,003,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2019-11-29T00:00:00.000,2022-01-22T00:00:00.000,RGA Architecture,,,2014-002181PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-002181PRJ'},"2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR",2017-11-30T00:00:00.000,On-site BMR Project,95,22,73,23.00,0,15,0,7,0,0,0,0,0,,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,37.782852551000,-122.447442492999,"{'latitude': '37.782852551', 'longitude': '-122.447442492999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1992-006,(6) Complete,Market Heights Apartments,1000,Tompkins,Ave,94110,5731,"002, 003",9,Bernal Heights,Bernal Heights,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,,Bernal Heights Neighborhood Center,,Bernal Heights Neighborhood Center,2018-016579PRL,{'url': 'http://propertymap.sfplanning.org/?search=2018-016579PRL'},,,,46,45,1,98.00,0,0,6,15,22,2,0,0,1,2bd,45,0,0,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,37.736327876000,-122.410269179999,"{'latitude': '37.736327876', 'longitude': '-122.410269179999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-027,(6) Complete,1700 Market,1700,Market,St,94102,0855,016,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-05-29T00:00:00.000,2019-03-14T00:00:00.000,2019-03-14T00:00:00.000,2020-12-23T00:00:00.000,1700 Market Street LLC,,,2013.1179,{'url': 'http://propertymap.sfplanning.org/?search=2013.1179'},"2013.1179C,2013.1179E,2013.1179U,2013.1179VAR",2015-06-18T00:00:00.000,On-site BMR Project,42,5,37,12.00,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37.772953415000,-122.422447141999,"{'latitude': '37.772953415', 'longitude': '-122.422447141999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-088,(2) Predevelopment Feasibility,Transbay Block 2 West,299,Fremont,St,94105,0,0,6,Financial District/South Beach,Financial District,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,2023-09-01T00:00:00.000,,,2023-09-01T00:00:00.000,2025-08-01T00:00:00.000,Chinatown Community Development Center,Mercy Housing California,Transbay 2 Senior L.P.,Not Applicable,,,,,153,152,1,99.00,0,35,117,0,0,0,0,0,1,1bd,0,152,0,30,0,30,0,30,24,0,50,0,34,14,0,0,0,0,0,0,0,0,37.789126625000,-122.392752326999,"{'latitude': '37.789126625', 'longitude': '-122.392752326999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-006,(3) Design with Entitlements Approved,915 North Point St,915,North Point,St,94109,0453,002,2,Russian Hill,Russian Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-04-30T00:00:00.000,2023-06-24T00:00:00.000,"Jamestown Premier GHRSQ, LP",,,2017-000280PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-000280PRJ'},,2019-05-02T00:00:00.000,Fee Payment,37,0,37,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.805372000000,-122.422336000000,"{'latitude': '37.805372', 'longitude': '-122.422336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-020,(5) First Construction Document Issued,42 Otis,42,Otis,St,94103,3505,020,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-09-18T00:00:00.000,2019-12-31T00:00:00.000,2019-12-31T00:00:00.000,2022-02-23T00:00:00.000,Costanoan LLC,,,2016-005406PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-005406PRJ'},,2019-08-20T00:00:00.000,On-site BMR Project,24,3,21,13.00,3,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.772527000000,-122.419535000000,"{'latitude': '37.772527', 'longitude': '-122.419535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-124,(4) Site Work Permit Issued,300/350 Octavia (Parcel M & N),300,Octavia,St,94102,0832,"092, 094",5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2018-10-16T00:00:00.000,2020-12-09T00:00:00.000,DDG 235 Valencia Realty LLC,,,2014-002330PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-002330PRJ'},,2016-10-17T00:00:00.000,On-site BMR Project,24,3,21,13.00,0,2,1,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.775308478000,-122.424082001999,"{'latitude': '37.775308478', 'longitude': '-122.424082001999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-049,(3) Design with Entitlements Approved,901 16th (related to 1200 17th),901,16th,St,94107,3949,001,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2018-05-11T00:00:00.000,2020-07-04T00:00:00.000,"Potrero Partners, LLC",,,2011.1300,{'url': 'http://propertymap.sfplanning.org/?search=2011.1300'},"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",2016-05-12T00:00:00.000,On-site BMR Project,260,42,218,16.00,0,8,17,15,2,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,37.765836629000,-122.395688368999,"{'latitude': '37.765836629', 'longitude': '-122.395688368999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-093,(2) Predevelopment Feasibility,Mission Bay South Block 9A,,Address not yet assigned,,94158,8719,005,6,Mission Bay,South of Market,OCII,Limited Equity Program,Mission Bay,New Construction,Ownership,,2022-04-01T00:00:00.000,,,2022-04-01T00:00:00.000,2024-02-01T00:00:00.000,Curtis Development and Michael Simmons Property Development Inc.,Young Community Developers,"350 China Basin Partners, LLC",Not Applicable,,,,,148,148,0,100,0,0,43,70,35,0,0,0,0,,148,0,0,0,0,0,0,0,0,0,0,0,0,17,26,47,0,58,0,0,0,0,37.772584844000,-122.387600687999,"{'latitude': '37.772584844', 'longitude': '-122.387600687999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-016,(1) Preliminary Phase,71 Boardman,71,Boardman,Pl,94103,3779,084,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.774480000000,-122.402350000000,"{'latitude': '37.77448', 'longitude': '-122.40235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-001,(2) Predevelopment Feasibility,Sunnydale Block 3,,Sunnydale,Ave,94134,0,0,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,0,New Construction,Rental,,2022-07-01T00:00:00.000,,,2022-07-01T00:00:00.000,2024-07-01T00:00:00.000,Related California,Mercy Housing California,Mercy Housing,2010.0305,{'url': 'http://propertymap.sfplanning.org/?search=2010.0305'},,,,168,167,1,99.00,0,0,56,68,39,4,0,23,1,2bd,167,0,0,0,0,0,126,0,0,34,92,0,41,0,0,0,0,0,0,0,0,0,37.711791933000,-122.416804858999,"{'latitude': '37.711791933', 'longitude': '-122.416804858999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-122,(5) First Construction Document Issued,1335 Larkin,1335,Larkin,St,94109,0645,003,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-08-09T00:00:00.000,2018-11-13T00:00:00.000,2018-11-13T00:00:00.000,2021-01-06T00:00:00.000,Town Consulting,,,2013.0491,{'url': 'http://propertymap.sfplanning.org/?search=2013.0491'},"2013.0491DRP,2013.0491E,2013.0491PPA,2013.0491U,2013.0491V",2016-09-21T00:00:00.000,Fee Payment,22,0,22,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.790330115000,-122.419308362999,"{'latitude': '37.790330115', 'longitude': '-122.419308362999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-019,(4) Site Work Permit Issued,450 O'Farrell St,450,O'Farrell,St,94102,0317,"007, 009, 011",6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2020-05-13T00:00:00.000,,2020-11-11T00:00:00.000,2023-01-05T00:00:00.000,450 O'Farrell Partners LLC,,,2013.1535,{'url': 'http://propertymap.sfplanning.org/?search=2013.1535'},"2013.1535CUA,2013.1535ENV,2013.1535PPA,2013.1535SHD,2013.1535TDM,2013.1535U",2018-09-13T00:00:00.000,On-site BMR Project,176,23,153,13.00,0,5,9,9,0,0,0,0,0,,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,37.786149804000,-122.412528304999,"{'latitude': '37.786149804', 'longitude': '-122.412528304999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-017,(3) Design with Entitlements Approved,"Block 48, Phase 3 (Blocks H, I, K, L)",979,Oakdale,Ave,94124,5319,030,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,2022-03-01T00:00:00.000,,,2022-03-01T00:00:00.000,2023-09-01T00:00:00.000,,,,Not Applicable,,,2015-03-03T00:00:00.000,,70,10,60,14.00,0,0,6,4,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.727683447000,-122.375961137999,"{'latitude': '37.727683447', 'longitude': '-122.375961137999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-045,(2) Predevelopment Feasibility,730 Stanyan,700-730,Stanyan,St,94117,1249,024,5,Haight Ashbury,Haight Ashbury,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2022-07-20T00:00:00.000,,,2022-07-20T00:00:00.000,2024-03-31T00:00:00.000,Chinatown Community Development Center,Tenderloin Neighborhood Development Corporation,,Not Yet Available,,,,,120,119,1,99.00,0,15,38,36,30,0,0,0,1,1bd,89,0,30,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,37.768746857000,-122.453066286999,"{'latitude': '37.768746857', 'longitude': '-122.453066286999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-035,(3) Design with Entitlements Approved,3601 Lawton,3601,Lawton,St,94122,1901,001,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2022-07-29T00:00:00.000,2024-09-21T00:00:00.000,Kodorski Design Inc,,,2015-009053PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-009053PRJ'},"2015-009053CUA,2015-009053ENV,2015-009053PPA,2015-009053PPA-02,2015-009053TDM",2020-07-30T00:00:00.000,On-site BMR Project,41,10,31,24.00,0,0,7,3,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37.756623088000,-122.501654084999,"{'latitude': '37.756623088', 'longitude': '-122.501654084999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-111,(4) Site Work Permit Issued,249 Pennsylvania Ave,249,Pennsylvania,Ave,94107,3999,015,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-10-10T00:00:00.000,,2019-04-10T00:00:00.000,2021-06-03T00:00:00.000,,,,2014.1279,{'url': 'http://propertymap.sfplanning.org/?search=2014.1279'},"2014.1279ENV,2014.1279ENX,2014.1279U,2014.1279U_OLD",2016-11-03T00:00:00.000,On-site BMR Project,59,10,49,17.00,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,37.763612476000,-122.393389183999,"{'latitude': '37.763612476', 'longitude': '-122.393389183999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
